,0,1
0,"Hine Junior High School,Washington,DC","{'lat': 38.8923472, 'lng': -76.97896759999999}"
1,"Sousa Junior High,Washington,DC","{'lat': 38.8839745, 'lng': -76.9531487}"
2,"Unnamed High School,Washington,DC","{'lat': 39.3201044, 'lng': -77.349205}"
3,"John F. Kennedy High School,Cleveland,OH","{'lat': 41.4494718, 'lng': -81.5607}"
4,"David Starr Jordan High School,Long Beach,CA","{'lat': 33.8722207, 'lng': -118.1840179}"
5,"Pine Bluff Coleman High School,Pine Bluff,AR","{'lat': 34.2161319, 'lng': -92.05407439999999}"
6,"Pierre S. du Pont High School,Wilmington,DE","{'lat': 39.76428, 'lng': -75.53298}"
7,"Carver High School,Delray Beach,FL","{'lat': 26.4605387, 'lng': -80.1128433}"
8,"Ben Lomond High School,Ogden,UT","{'lat': 41.2493595, 'lng': -111.9511011}"
9,"Riverside High School,El Paso,TX","{'lat': 31.7337929, 'lng': -106.3723188}"
10,"Allapatah Elementary School,Miami,FL","{'lat': 25.8183125, 'lng': -80.21775070000001}"
11,"Hamilton High School,Nashville,TN","{'lat': 36.1339392, 'lng': -86.76598419999999}"
12,"Central High School,Davenport,IA","{'lat': 41.5312612, 'lng': -90.57645269999999}"
13,"Pontiac Central High School,Detroit,MI","{'lat': 42.6655862, 'lng': -83.2675788}"
14,"Booker T. Washington High School,Nashville,TN","{'lat': 36.1887559, 'lng': -95.9708218}"
15,"Washington Junior High School,Nashville,TN","{'lat': 36.1631124, 'lng': -86.8124993}"
16,"Appleseed Junior High School,Mansfield,OH","{'lat': 40.7626493, 'lng': -82.5429017}"
17,"Harlan High School,Chicago,IL","{'lat': 41.7182472, 'lng': -87.62071139999999}"
18,"Xavier High School,Appleton,WI","{'lat': 44.2487795, 'lng': -88.4333529}"
19,"Morris E. Leeds Middle School,Philadelphia,PA","{'lat': 40.0711822, 'lng': -75.1750414}"
20,"John F. Kennedy High School,Willingboro,PA","{'lat': 40.0312226, 'lng': -74.8821102}"
21,"Oak Cliff High School,Dallas,TX","{'lat': 32.6996702, 'lng': -96.8157572}"
22,"Franklin D. Roosevelt Junior High School,Cleveland,OH","{'lat': 41.5352632, 'lng': -81.6104739}"
23,"Roskruge Junior High School,Tucson,AZ","{'lat': 32.228453, 'lng': -110.963284}"
24,"William Penn High School,Harrisburg,PA","{'lat': 40.2931721, 'lng': -76.89852239999999}"
25,"Benton Harbor High School,Saint Joseph,MI","{'lat': 42.08949680000001, 'lng': -86.49169429999999}"
26,"East Aurora Middle School,East Aurora,NY","{'lat': 42.7686922, 'lng': -78.618675}"
27,"Monessen High School,Monessen,PA","{'lat': 40.139574, 'lng': -79.869912}"
28,"Dunbar High School,Lubbock,TX","{'lat': 33.5705848, 'lng': -101.8155127}"
29,"McKinley Vocational High School,Buffalo,NY","{'lat': 42.937193, 'lng': -78.8791182}"
30,"Central High School,Minneapolis,MN","{'lat': 44.9489021, 'lng': -93.1484443}"
31,"Peabody Junior High School,Petersburg,VA","{'lat': 37.1873005, 'lng': -77.3950615}"
