Category: All categories

Month,AR-15 style rifle: (Worldwide)
2004-01,16
2004-02,14
2004-03,15
2004-04,16
2004-05,14
2004-06,13
2004-07,12
2004-08,13
2004-09,24
2004-10,19
2004-11,17
2004-12,17
2005-01,16
2005-02,16
2005-03,15
2005-04,13
2005-05,13
2005-06,13
2005-07,14
2005-08,14
2005-09,15
2005-10,14
2005-11,15
2005-12,18
2006-01,19
2006-02,18
2006-03,16
2006-04,15
2006-05,15
2006-06,14
2006-07,15
2006-08,15
2006-09,13
2006-10,14
2006-11,14
2006-12,16
2007-01,15
2007-02,17
2007-03,16
2007-04,16
2007-05,13
2007-06,15
2007-07,14
2007-08,16
2007-09,14
2007-10,14
2007-11,15
2007-12,18
2008-01,20
2008-02,20
2008-03,20
2008-04,18
2008-05,17
2008-06,17
2008-07,17
2008-08,17
2008-09,17
2008-10,22
2008-11,41
2008-12,33
2009-01,30
2009-02,29
2009-03,31
2009-04,30
2009-05,23
2009-06,21
2009-07,21
2009-08,24
2009-09,20
2009-10,22
2009-11,23
2009-12,25
2010-01,26
2010-02,26
2010-03,25
2010-04,21
2010-05,19
2010-06,17
2010-07,20
2010-08,19
2010-09,19
2010-10,18
2010-11,20
2010-12,23
2011-01,25
2011-02,27
2011-03,27
2011-04,24
2011-05,22
2011-06,20
2011-07,22
2011-08,24
2011-09,23
2011-10,24
2011-11,27
2011-12,32
2012-01,37
2012-02,38
2012-03,35
2012-04,32
2012-05,28
2012-06,27
2012-07,38
2012-08,33
2012-09,33
2012-10,32
2012-11,45
2012-12,100
2013-01,85
2013-02,54
2013-03,46
2013-04,41
2013-05,32
2013-06,29
2013-07,29
2013-08,29
2013-09,31
2013-10,29
2013-11,33
2013-12,37
2014-01,38
2014-02,37
2014-03,35
2014-04,29
2014-05,25
2014-06,25
2014-07,26
2014-08,28
2014-09,27
2014-10,28
2014-11,31
2014-12,37
2015-01,36
2015-02,38
2015-03,35
2015-04,27
2015-05,25
2015-06,25
2015-07,26
2015-08,28
2015-09,27
2015-10,28
2015-11,36
2015-12,58
2016-01,46
2016-02,39
2016-03,33
2016-04,28
2016-05,26
2016-06,77
2016-07,49
2016-08,35
2016-09,34
2016-10,39
2016-11,48
2016-12,49
2017-01,41
2017-02,39
2017-03,36
2017-04,32
2017-05,28
2017-06,28
2017-07,27
2017-08,26
2017-09,25
2017-10,44
2017-11,40
2017-12,36
2018-01,32
2018-02,97
2018-03,64
2018-04,38
2018-05,27
2018-06,25
2018-07,24
2018-08,23
2018-09,22
2018-10,23
2018-11,29
2018-12,32
2019-01,29
2019-02,30
2019-03,30
2019-04,24
2019-05,21
2019-06,21
