Date,Killed
2004-1,0
2004-1,2
2004-2,1
2004-2,0
2004-2,0
2004-2,0
2004-2,1
2004-2,0
2004-2,1
2004-3,0
2004-3,1
2004-5,0
2004-5,0
2004-5,0
2004-5,2
2004-6,0
2004-8,0
2004-8,0
2004-8,1
2004-9,0
2004-9,0
2004-10,0
2004-10,1
2004-10,2
2004-10,0
2004-10,0
2004-10,1
2004-11,0
2004-11,0
2004-11,0
2004-11,0
2004-11,0
2004-12,1
2004-12,0
2004-12,1
2005-1,1
2005-12,0
2005-1,0
2005-2,0
2005-2,0
2005-3,1
2005-3,0
2005-3,0
2005-3,0
2005-3,1
2005-3,1
2005-3,0
2005-3,10
2005-3,0
2005-3,0
2005-3,0
2005-4,0
2005-4,0
2005-4,0
2005-5,0
2005-5,2
2005-5,0
2005-5,0
2005-5,0
2005-6,0
2005-6,0
2005-7,1
2005-8,0
2005-8,1
2005-8,0
2005-8,0
2005-9,0
2005-9,0
2005-9,0
2005-9,0
2005-10,0
2005-10,0
2005-10,0
2005-10,0
2005-10,1
2005-10,0
2005-10,0
2005-11,1
2005-11,0
2005-11,1
2005-12,0
2005-12,1
2006-1,0
2006-1,0
2006-1,0
2006-1,1
2006-1,0
2006-1,0
2006-1,0
2006-1,0
2006-1,0
2006-1,0
2006-1,0
2006-1,0
2006-1,1
2006-2,0
2006-2,0
2006-2,1
2006-2,0
2006-2,0
2006-3,0
2006-3,0
2006-4,0
2006-4,0
2006-4,0
2006-5,1
2006-5,0
2006-5,0
2006-6,1
2006-6,1
2006-6,0
2006-7,2
2006-8,0
2006-8,1
2006-8,1
2006-8,0
2006-8,1
2006-8,1
2006-8,0
2006-8,0
2006-8,0
2006-9,0
2006-9,0
2006-9,0
2006-9,0
2006-9,2
2006-9,1
2006-10,6
2006-10,0
2006-10,0
2006-10,0
2006-10,1
2006-10,1
2006-11,1
2006-11,1
2006-12,1
2006-12,0
2006-12,0
2006-12,1
2006-12,0
2006-12,1
2007-1,0
2007-1,1
2007-1,0
2007-1,0
2007-1,0
2007-1,0
2007-1,0
2007-1,0
2007-1,0
2007-2,0
2007-2,1
2007-2,0
2007-2,0
2007-2,0
2007-3,1
2007-3,1
2007-3,0
2007-3,0
2007-3,0
2007-3,0
2007-3,0
2007-4,0
2007-4,0
2007-4,1
2007-5,0
2007-5,1
2007-5,0
2007-5,0
2007-5,0
2007-5,0
2007-5,0
2007-5,0
2007-6,0
2007-6,0
2007-7,0
2007-8,3
2007-9,0
2007-10,0
2007-10,1
2007-10,0
2007-11,1
2007-11,0
2007-12,1
2008-2,0
2008-2,0
2008-2,1
2008-3,1
2008-4,1
2008-5,1
2008-8,0
2008-8,1
2008-8,1
2008-9,0
2008-9,1
2008-9,0
2008-10,1
2008-10,1
2008-10,0
2008-10,0
2008-10,0
2008-11,0
2008-11,1
2008-11,1
2008-11,1
2008-11,1
2008-11,0
2008-11,0
2008-11,0
2008-11,0
2008-12,1
2008-12,1
2008-12,0
2008-12,1
2008-12,0
2008-12,1
2008-12,0
2008-12,0
2008-12,1
2009-1,0
2009-1,0
2009-1,0
2009-1,0
2009-1,0
2009-1,0
2009-1,1
2009-1,0
2009-2,0
2009-2,0
2009-2,0
2009-2,0
2009-2,0
2009-3,0
2009-3,0
2009-3,0
2009-3,0
2009-4,0
2009-5,1
2009-5,1
2009-5,1
2009-6,0
2009-6,1
2009-8,0
2009-9,0
2009-9,0
2009-10,0
2009-10,1
2009-10,1
2009-11,0
2009-12,0
2010-1,0
2010-2,1
2010-2,0
2010-2,0
2010-2,1
2010-4,0
2010-5,0
2010-8,1
2010-9,0
2010-9,0
2010-10,1
2010-10,0
2010-10,1
2010-11,1
2010-12,0
2011-1,0
2011-1,2
2011-1,0
2011-2,1
2011-3,0
2011-3,1
2011-4,0
2011-4,0
2011-5,0
2011-5,0
2011-10,0
2011-12,0
2011-12,0
2012-1,1
2012-1,0
2012-2,0
2012-2,0
2012-2,3
2012-3,2
2012-3,0
2012-4,0
2012-5,1
2012-8,0
2012-8,1
2012-8,0
2012-9,0
2012-9,1
2012-10,0
2012-10,1
2012-12,0
2012-12,28
2013-1,1
2013-1,0
2013-1,0
2013-1,0
2013-2,1
2013-2,1
2013-2,0
2013-3,1
2013-4,1
2013-4,0
2013-4,1
2013-5,0
2013-5,0
2013-6,1
2013-6,2
2013-8,1
2013-8,0
2013-8,0
2013-8,1
2013-8,0
2013-9,0
2013-9,1
2013-10,0
